Region and State;Total;Inter-governmental;total.1;elementary and secondary education;Higher education;Public Welfare;Health and Hospitals;Highways;Police;all other;Exhibit personal Income (millions);year
Alaska;32,692404;0;32,692404;5,1693074;1,8048664;6,0449384;1,6856744;3,5459436;0,96957151;13,472103;44369,6;2018
Hawaii;19,073037;0,00048702;19,07255;2,886718;1,6109636;3,8044089;1,4313409;0,97020122;0,62100487;7,747912;78436,1;2018
United States ;0,18173886;0,00019238;0,18154648;0,03916322;0,01752532;0,03997343;0,01746559;0,01071444;0,00671995;0,04998453;16937582;2017
New England;15,975037;0,00325233;15,971784;3,6952926;1,2825744;3,8442539;0,75294532;0,93105321;0,50183881;4,9638259;955100,3;2017
Connecticut;13,247411;0;13,247411;3,6505133;1,3262773;1,488495;0,98312534;0,87040392;0,46022412;4,4683716;256348,8;2017
Maine;18,782056;0;18,782056;4,1202092;1,2588848;5,1498991;0,79023522;1,5900833;0,49938532;5,3733591;62145,8;2017
Massachusetts;16,550484;0,00262577;16,547858;3,4588941;1,1804217;4,7549446;0,69865476;0,81548164;0,47603486;5,1634266;469500,7;2017
New Hampshire;14,031361;0;14,031361;3,7497054;1,1862772;3,0730921;0,23205944;0,95562335;0,53036337;4,3042406;79253,4;2017
Rhode Island;19,661846;0,03371138;19,628135;4,5216834;1,2458817;5,6034041;0,56767018;0,85384896;0,81681593;6,0188305;55574,7;2017
Vermont;22,287779;0;22,287779;5,1149708;2,766635;5,6578947;1,2407325;1,8975552;0,60004833;5,0099421;32276,9;2017
Mideast;19,501931;0,00472713;19,497204;4,7796258;1,3541773;4,7166424;1,4333708;1,0332521;0,71057214;5,4695636;3017982,4;2017
Delaware;22,257835;0,00211092;22,255724;4,2220894;3,062727;5,1623828;1,2307018;1,7282956;0,77967793;6,0698498;48604,3;2017
District of Columbia;24,784266;0;24,784266;5,0539063;0,2263388;6,8364247;1,8636739;0,82525145;1,1612883;8,8173824;55051,1;2017
Maryland;16,477711;0;16,477711;3,7467406;1,714847;3,6070787;0,656487;0,92096695;0,72398609;5,1076043;365997,5;2017
New Jersey;15,994248;0,0028576;15,99139;4,7221832;1,2885352;3,1644056;0,84674765;0,78135384;0,61089424;4,5772703;577407,8;2017
New York;21,8609;0;21,8609;5,3442317;1,0998384;5,4572688;1,8835132;0,94783168;0,80520192;6,3230145;1289263,2;2017
Pennsylvania;19,012158;0,01835787;18,9938;4,3325909;1,6664358;5,0234637;1,4757208;1,4357147;0,56749663;4,4923775;681658,5;2017
Great Lakes;18,291725;0,00132477;18,2904;3,9467128;1,9097503;4,1602181;1,4560432;1,2186426;0,65057519;4,9484574;2284015;2017
Illinois;16,888895;0,00083127;16,888064;3,8354556;1,3254057;3,2616332;0,77371087;1,3485655;0,75812727;5,5851656;693273,7;2017
Indiana;17,903012;0,00070542;17,902307;3,4616189;2,1336115;4,6291066;1,877731;0,85131406;0,44891835;4,5000061;301238,3;2017
Michigan;18,493557;0,00117142;18,492385;3,8044716;2,5884048;3,7289565;2,0727293;0,93114697;0,56314312;4,8035331;458247,1;2017
Ohio;19,76464;0,00311389;19,761526;4,458027;1,8082889;5,2519762;1,5953257;1,1086781;0,69957784;4,8396525;546006;2017
